week,date,topic,slides,slides_link,reading,reading_link,assignments,assignments_link,lab,lab_link
1,Sep 30; Oct 2,Course introduction; Introduction to scientific principles and data analysis,Class 1; Class 2,https://www.google.com/;https://www.google.com/,"LSWR Chapter 2; LSWR Chapter 3; Light, Singer, & Willet (1990) pp. 1-40",https://czopluoglu.github.io/educ641_f25/resources/readings/Chapter 1.pdf;https://czopluoglu.github.io/educ641_f25/resources/readings/Chapter 2.pdf;https://czopluoglu.github.io/educ641_f25/resources/readings/Light Singer Willett 1990.pdf,,,Lab 1,https://czopluoglu.github.io/educ641_f25/resources/labs/Lab1.pdf
2,7-Oct,,Week 2 - Class 1,,,,,,,
2,9-Oct,,Week 2 - Class 2,,,,,,,
3,14-Oct,,Week 3 - Class 1,,,,,,,
3,16-Oct,,Week 3 - Class 2,,,,,,,
4,21-Oct,,Week 4 - Class 1,,,,,,,
4,23-Oct,,Week 4 - Class 2,,,,,,,
5,28-Oct,,Week 5 - Class 1,,,,,,,
5,30-Oct,,Week 5 - Class 2,,,,,,,
6,4-Nov,,Week 6 - Class 1,,,,,,,
6,6-Nov,,Week 6 - Class 2,,,,,,,
7,11-Nov,,Week 7 - Class 1,,,,,,,
7,13-Nov,,Week 7 - Class 2,,,,,,,
8,18-Nov,,Week 8 - Class 1,,,,,,,
8,20-Nov,,Week 8 - Class 2,,,,,,,
9,25-Nov,,Week 9 - Class 1,,,,,,,
9,27-Nov,,Week 9 - Class 2,,,,,,,
10,2-Dec,,Week 10 - Class 1,,,,,,,
10,4-Dec,,Week 10 - Class 2,,,,,,,
