week,date,topic,slides,slides_link,reading,reading_link,assignments,assignments_link,lab,lab_link,r,r_link,data,data_link
1,Sep 30; Oct 2,Course introduction; Introduction to scientific principles and data analysis,Class 1; Class 2,Class 1; Class 2,"LSWR Chapter 1; LSWR Chapter 2; Light, Singer, & Willet (1990) pp. 1-40",https://czopluoglu.github.io/educ641_f25/resources/readings/Chapter 1.pdf;https://czopluoglu.github.io/educ641_f25/resources/readings/Chapter 2.pdf;https://czopluoglu.github.io/educ641_f25/resources/readings/Light Singer Willett 1990.pdf,,,,,,,,
2,Oct 7; Oct 9,Descriptive statistics for continuous data; Visualizing continuous data ,Class 1; Class 2,Class 1; Class 2,LSWR Chapter 5; LSWR Chapter 6,https://czopluoglu.github.io/educ641_f25/resources/readings/Chapter 5.pdf; https://czopluoglu.github.io/educ641_f25/resources/readings/Chapter 6.pdf,,,Lab 1,Lab1,,,,
3,Oct 14; Oct 16,Introduction to Normal Distribution; Sampling Distribution; Central Limit Theorem,Class 1; Class 2,Class 1; Class 2,LSWR Chapter 9; LSWR Chapter 10,https://czopluoglu.github.io/educ641_f25/resources/readings/Chapter 9.pdf; https://czopluoglu.github.io/educ641_f25/resources/readings/Chapter 10.pdf,,,Lab 2,Lab2,,,,
4,Oct 21; Oct 23,One-sample z-test; One-sample t-test,Class 1; Class 2,Class 1; Class 2,LSWR Chapter 13; LSWR Chapter 11; Podcast: Guinnes,https://czopluoglu.github.io/educ641_f25/resources/readings/Chapter 11.pdf; https://czopluoglu.github.io/educ641_f25/resources/readings/Chapter 13.pdf; http://lineardigressions.com/episodes/2016/2/29/guinness,,,,,,,,
5,Oct 28; Oct 30,Independent samples t-test; Dependent samples t-test,Class 1; Class 2,Class 1; Class 2,LSWR Chapter 13; LSWR Chapter 11; Evans 2020, https://czopluoglu.github.io/educ641_f25/resources/readings/Chapter 11.pdf; https://czopluoglu.github.io/educ641_f25/resources/readings/Chapter 13.pdf; https://czopluoglu.github.io/educ641_f25/resources/readings/evans_2020.pdf,,,Lab 3,Lab3,,,,
6,Nov 4; Nov 6,Relationship between two continuous variables,Class 1; Class 2,Class 1; Class 2,LSWR Chapter 15; Gould Chapter 3, https://czopluoglu.github.io/educ641_f25/resources/readings/Chapter 15.pdf; https://czopluoglu.github.io/educ641_f25/resources/readings/Gould_Chapter 3.pdf,,,Lab 4,Lab4,,,,
7,Nov 13,Troubling history of statistics,Class 1,Class 1,Clayton 2020,https://czopluoglu.github.io/educ641_f25/resources/readings/Clayton 2020.pdf,,,,,,,,
8,Nov 18; Nov 20,Relationship between categorical variables,Class 1; Class 2,Class 1; Class 2,LSWR Chapter 12, https://czopluoglu.github.io/educ641_f25/resources/readings/Chapter 12.pdf,,,Lab 5,Lab5,,,,
9,Nov 25,Relationship between categorical variables,Class 1,Class 1,LSWR Chapter 12, https://czopluoglu.github.io/educ641_f25/resources/readings/Chapter 12.pdf,,,,,,,,
10,Dec 2; Dec 4,Critiques of NHST,Class 1; Class 2,Class 1; Class 2,,,,,,,,,,
